ACC_or_GYR,milisecond,x,y,z
ACC,25,-2.1548473834991455,2.166818618774414,9.124581336975098
ACC,41,-2.1548473834991455,2.166818618774414,9.124581336975098
ACC,45,-1.97048819065094,2.667222023010254,9.222746849060059
ACC,55,-2.0638649463653564,2.7462332248687744,9.859623908996582
ACC,65,-1.9058427810668945,2.7797529697418213,10.510866165161133
ACC,75,-1.6855695247650146,2.6767992973327637,10.659311294555664
ACC,85,-1.6400781869888306,2.547508478164673,10.40073013305664
ACC,96,-1.7166950702667236,1.8603515625,9.557945251464844
ACC,107,-1.532335877418518,1.7454262971878052,8.887548446655273
ACC,124,-1.2330515384674072,1.9417568445205688,8.298556327819824
ACC,125,-0.9768640995025635,2.286532402038574,8.578686714172363
ACC,141,-0.5578660368919373,2.633702278137207,9.277814865112305
ACC,145,-0.3543526828289032,2.849187135696411,9.921875
ACC,158,-0.35674694180488586,2.7486274242401123,9.75188159942627
ACC,175,-0.8020820617675781,2.4637088775634766,9.61061954498291
ACC,175,-0.8020820617675781,2.4637088775634766,9.61061954498291
ACC,191,-0.9840469360351562,2.3200523853302,9.850046157836914
ACC,195,-1.13009774684906,2.2218871116638184,9.778218269348145
ACC,207,-1.18037748336792,2.0686533451080322,9.411893844604492
ACC,224,-1.2929084300994873,1.92020845413208,9.09345531463623
ACC,224,-0.8427847623825073,2.078230619430542,8.600234985351562
ACC,239,-0.44533511996269226,2.1165390014648438,8.25067138671875
ACC,244,0.12210801243782043,2.135693073272705,8.743891716003418
ACC,256,0.5004034638404846,2.0973846912384033,10.118205070495605
ACC,274,0.3208328187465668,1.8986599445343018,10.47255802154541
ACC,276,0.26815879344940186,1.8603515625,10.156514167785645
GYR,276,-23.050334930419922,-31.954265594482422,6.1496052742004395
ACC,289,0.0885881707072258,1.8220431804656982,10.032011032104492
GYR,290,-17.765335083007812,-19.634267807006836,2.474605083465576
ACC,294,0.3423812985420227,1.9249969720840454,9.651321411132812
GYR,295,-15.07033634185791,-12.039265632629395,-0.150395005941391
ACC,306,0.36871832609176636,2.0064022541046143,9.435836791992188
GYR,306,-14.370335578918457,-3.8842649459838867,-3.405395030975342
ACC,323,0.1771763414144516,1.9178141355514526,9.328094482421875
GYR,324,-14.720335006713867,2.0307350158691406,-5.855395317077637
ACC,324,-0.1532335877418518,1.6688095331192017,9.263449668884277
GYR,325,-15.42033576965332,4.865735054016113,-7.010395050048828
ACC,341,-0.3974496126174927,1.5251530408859253,9.004867553710938
GYR,341,-16.26033592224121,6.68573522567749,-6.4153947830200195
ACC,345,-0.3208328187465668,1.5347301959991455,8.813325881958008
GYR,345,-18.360336303710938,7.525735378265381,-5.120395183563232
ACC,357,-0.23224465548992157,1.5347301959991455,8.834874153137207
GYR,357,-21.51033592224121,6.195734977722168,-3.6853950023651123
ACC,373,-0.25139886140823364,1.5874042510986328,8.904308319091797
GYR,373,-25.115337371826172,4.445734977722168,-2.460395097732544
ACC,374,-0.3136500120162964,1.6281068325042725,9.165284156799316
GYR,375,-28.79033660888672,1.260735034942627,-1.6203950643539429
ACC,391,-0.23224465548992157,1.6855695247650146,9.909903526306152
GYR,392,-31.27533721923828,-5.319265365600586,-0.5703950524330139
ACC,396,-0.14605076611042023,1.642472505569458,10.448615074157715
GYR,396,-29.315336227416992,-11.479265213012695,0.969605028629303
ACC,408,-0.15083931386470795,1.5969812870025635,10.486923217773438
GYR,409,-25.640335083007812,-8.74926471710205,0.7946050763130188
ACC,425,-0.1484450399875641,1.5706442594528198,10.513260841369629
GYR,425,-14.825335502624512,-0.3842650055885315,-1.0953949689865112
ACC,425,-0.1484450399875641,1.5706442594528198,10.513260841369629
GYR,425,-14.825335502624512,-0.3842650055885315,-1.0953949689865112
ACC,441,-0.2777358889579773,1.4772675037384033,10.381575584411621
GYR,442,-8.525335311889648,2.9757349491119385,-1.9703949689865112
ACC,445,-0.3016786277294159,1.4868446588516235,10.221158981323242
GYR,445,-2.785335063934326,4.235734939575195,-1.900395154953003
ACC,456,-0.2490045726299286,1.5467015504837036,9.99370288848877
GYR,456,1.729664921760559,5.040735244750977,-1.8303951025009155
ACC,473,-0.2178790122270584,1.6065584421157837,9.885960578918457
GYR,473,4.774665355682373,5.075735092163086,-2.2503950595855713
ACC,474,-0.23463892936706543,1.7166950702667236,9.818921089172363
GYR,475,6.4196648597717285,4.235734939575195,-2.950395107269287
ACC,490,-0.3256213665008545,1.7717633247375488,9.747093200683594
GYR,490,6.94466495513916,3.5357348918914795,-3.4403951168060303
ACC,494,-0.42857518792152405,1.783734679222107,9.71117877960205
GYR,495,6.839664936065674,2.5557351112365723,-3.5103952884674072
ACC,507,-0.4429408311843872,1.7741576433181763,9.744698524475098
GYR,508,5.789665222167969,1.3307350873947144,-2.8103952407836914
ACC,525,-0.37590113282203674,1.6999350786209106,9.670475959777832
GYR,525,3.899665355682373,3.2207350730895996,-2.1803951263427734
ACC,525,-0.3208328187465668,1.6041641235351562,9.545973777770996
GYR,526,3.899665355682373,3.2207350730895996,-2.1803951263427734
ACC,544,-0.3830839693546295,1.5490957498550415,9.51245403289795
GYR,544,3.1296651363372803,2.5907351970672607,-1.9703949689865112
ACC,545,-0.3256213665008545,1.6041641235351562,9.469356536865234
GYR,545,2.884665012359619,0.5957350134849548,-1.6553950309753418
ACC,561,-0.31125572323799133,1.6831752061843872,9.426259994506836
GYR,561,2.709665060043335,-0.4892650246620178,-1.480394959449768
ACC,565,-0.35195839405059814,1.6831752061843872,9.507665634155273
GYR,566,2.5696651935577393,-1.15426504611969,-1.4103950262069702
ACC,578,-0.337592750787735,1.702329397201538,9.629773139953613
GYR,578,3.0596649646759033,-1.9942651987075806,-1.165394902229309
ACC,594,-0.2777358889579773,1.6568381786346436,9.601041793823242
GYR,595,4.389664649963379,-0.6292650103569031,-1.8303951025009155
ACC,595,-0.2490045726299286,1.611346960067749,9.476539611816406
GYR,595,4.389664649963379,-0.6292650103569031,-1.8303951025009155
ACC,610,-0.2705530524253845,1.6137412786483765,9.3233060836792
GYR,611,4.284664630889893,-0.3492650091648102,-2.1103951930999756
ACC,615,-0.30886146426200867,1.6017698049545288,9.277814865112305
GYR,615,3.409665107727051,-0.979265034198761,-2.8453948497772217
ACC,627,-0.337592750787735,1.6544438600540161,9.33288288116455
GYR,628,2.4996650218963623,-1.469265103340149,-2.9853949546813965
ACC,644,-0.35674694180488586,1.671203851699829,9.385557174682617
GYR,645,1.2396650314331055,-1.8542650938034058,-2.7403950691223145
ACC,645,-0.3902668058872223,1.6496553421020508,9.44301986694336
GYR,646,-0.26533499360084534,-2.064265012741089,-2.390395164489746
ACC,660,-0.3495641350746155,1.6855695247650146,9.572310447692871
GYR,660,-1.5953351259231567,-3.569265127182007,-1.795395016670227
ACC,665,-0.2944957911968231,1.7047237157821655,9.589070320129395
GYR,665,-2.155334949493408,-4.374265193939209,-1.270395040512085
ACC,676,-0.28731298446655273,1.6544438600540161,9.529213905334473
GYR,676,-2.3303351402282715,-4.05926513671875,-1.0953949689865112
ACC,692,-0.32801565527915955,1.6041641235351562,9.579493522644043
GYR,693,-2.050334930419922,-4.899265289306641,-0.920395016670227
ACC,696,-0.31604427099227905,1.6496553421020508,9.75427532196045
GYR,696,-1.6653350591659546,-6.264265537261963,-0.4653950035572052
ACC,710,-0.25139886140823364,1.7071179151535034,9.775823593139648
GYR,711,-0.6503349542617798,-6.194265365600586,-0.11539500951766968
ACC,715,-0.2011190801858902,1.6879637241363525,9.756669998168945
GYR,715,0.22466501593589783,-4.899265289306641,-0.36039501428604126
ACC,726,-0.20830190181732178,1.69035804271698,9.699207305908203
GYR,727,0.784665048122406,-3.0092649459838867,-1.270395040512085
ACC,746,-0.28013014793395996,1.6640210151672363,9.380768775939941
GYR,746,-0.09033500403165817,-0.6292650103569031,-2.0403950214385986
ACC,747,-0.28013014793395996,1.6640210151672363,9.380768775939941
GYR,747,-0.09033500403165817,-0.6292650103569031,-2.0403950214385986
ACC,764,-0.2944957911968231,1.7166950702667236,9.335277557373047
GYR,765,-1.4203349351882935,-1.2242649793624878,-2.1103951930999756
ACC,766,-0.2968900799751282,1.7382434606552124,9.37358570098877
GYR,767,-2.8903350830078125,-2.624265193939209,-2.0403950214385986
ACC,779,-0.3830839693546295,1.7262721061706543,9.431048393249512
GYR,780,-4.010335445404053,-3.184264898300171,-2.1103951930999756
ACC,796,-0.4261809289455414,1.5874042510986328,9.33288288116455
GYR,797,-5.690334796905518,-4.409265041351318,-1.8653950691223145
ACC,798,-0.4261809289455414,1.5874042510986328,9.33288288116455
GYR,798,-5.690334796905518,-4.409265041351318,-1.8653950691223145
ACC,812,-0.371112585067749,1.5730385780334473,9.237112045288086
GYR,813,-7.370335102081299,-5.354265213012695,-1.3403949737548828
ACC,816,-0.3136500120162964,1.5874042510986328,9.359220504760742
GYR,817,-9.925335884094238,-6.719265460968018,-0.7803950309753418
